ctrycode,mktcode,market,longitude,latitude
GN,435,Conakry,-13.633211,9.567324
GN,436,Kankan,-9.305553,10.38404
GN,438,Labe,-12.283333,11.316667
GN,439,Nzerekore,-8.818018,7.754822
GW,440,Bissau,-15.6,11.866667
KE,243,Eldoret,35.266369,0.51524
KE,244,Garissa,39.646099,-0.453229
KE,245,Kisumu,34.767957,-0.091702
KE,246,Lodwar,35.6,3.116667
KE,247,Mandera,41.855116,3.935639
KE,248,Mombasa,39.668207,-4.043477
KE,249,Moyale,39.054771,3.520711
KE,250,Nairobi,36.821946,-1.292066
KE,251,Nakuru,36.080026,-0.303099
KE,252,Wajir,40.058633,1.748839
